inventory_category,brand,model,year,description,oem,sale_price_cad,quantity_received,quantity_sold,quantity_available,status,compatibility
Pièces automobiles,Nissan,Kicks,2025,Phare gauche,26010-7LF5A,1499,2,0,2,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Phare droit,26060-7LF5A,1499,2,0,2,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Pare-chocs avant sans trou,62026-7LG0A,499,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Moulure de pare-chocs avant,62084-7LG0H,149,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Cache de remorquage avant,622A0-7LG0H,39,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Support de plaque avant,96210-7LG0A,59,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Calandre SR,62310-7LG0A,799,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Calandre SL,62310-7LG0A,640,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Support inférieur de radiateur,62660-7LG0A,180,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Pare-chocs avant latéral gauche,62025-7LG0H,99,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Pare-chocs avant latéral droit,62024-7LG0H,99,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Pare-chocs arrière sans trou,850B2-7LG0A,370,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Moulure de pare-chocs arrière,85072-7LG0H,280,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Cache de remorquage arrière,85010-7LG0H,39,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Pare-chocs arrière latéral gauche,85017-7LG0H,99,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Pare-chocs arrière latéral droit,85016-7LG0H,99,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Support de pare-chocs avant gauche,62225-7LG0A,49,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Support de pare-chocs avant droit,62224-7LG0A,49,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Support de pare-chocs arrière gauche,85221-7LG0A,49,5,0,5,En stock,Nissan Kicks 2025
Pièces automobiles,Nissan,Kicks,2025,Support de pare-chocs arrière droit,85220-7LG0A,49,5,0,5,En stock,Nissan Kicks 2025
